Reaction,Subsystem
AHCYStn,"Transport, Nuclear"
AKGDa1,"Citric acid cycle"
AKGDa2,"Citric acid cycle"
AKGDb,"Citric acid cycle"
AKGGHTRDtm,"Transport, Mitochondrial"
AKGt4_3,"Transport, Extracellular"
AKGtn,"Transport, Nuclear"
ALASm,"Glycine, serine and threonine metabolism"
ALAt2r,"Transport, Extracellular"
ALAt4,"Transport, Extracellular"
ALCD1,"Unassigned"
ALCD21_L,"Pyruvate metabolism"
ALDD19xrm,"Phenylalanine metabolism"
ALDD19yrm,"Phenylalanine metabolism"
ALDD2x,"Pyruvate metabolism"
ALDD2y,"Pyruvate metabolism"
ALR2,"Pyruvate metabolism"
ALR3,"Pyruvate metabolism"
AMETEPMT,"Glycerophospholipid metabolism"
AMETtn,"Transport, Nuclear"
AMID6,"Urea cycle"
AMPt4,"Transport, Mitochondrial"
AOBUTDsm,"Glycine, serine and threonine metabolism"
ARACHDCOAtr,"Transport, Endoplasmic reticular"
ARCOAATr,"Carnitine metabolism"
ARTFR43,"R group synthesis"
ARTFR52,"R group synthesis"
ASCBt5,"Transport, Extracellular"
ASNATB0tc,"Transport, Extracellular"
ASNt4,"Transport, Extracellular"
ASPDTDe,"Transport, Extracellular"
ASPDt6,"Transport, Extracellular"
ASPPROASCT1,"Transport, Extracellular"
ASPTA,"Alanine and aspartate metabolism"
ASPt6,"Transport, Extracellular"
ATPS4m,"Oxidative phosphorylation"
ATPt4,"Transport, Mitochondrial"
ATPtm,"Transport, Mitochondrial"
ATPtn,"Transport, Nuclear"
BILDGLCURt,"Transport, Extracellular"
BILDGLCURt5e,"Transport, Extracellular"
BILDGLCURtr,"Transport, Endoplasmic reticular"
BILGLCURt,"Transport, Extracellular"
BILGLCURt5e,"Transport, Extracellular"
BILGLCURtr,"Transport, Endoplasmic reticular"
BILIRED,"Heme synthesis"
BILIRED2,"Heme synthesis"
BILIRUBtr,"Transport, Endoplasmic reticular"
BPNT,"Nucleotide salvage pathway"
BUP2,"Nucleotide salvage pathway"
BUTt2m,"Transport, Mitochondrial"
C204CPT1,"Carnitine metabolism"
C30CPT1,"Carnitine metabolism"
C4STMO2Pr,"Cholesterol metabolism"
CA2tm,"Transport, Mitochondrial"
CAATPS,"Transport, Extracellular"
CACT6r,"Transport, Endoplasmic reticular"
CACT7r,"Transport, Peroxisomal"
CAt7r,"Transport, Extracellular"
CDPDAGtm,"Transport, Mitochondrial"
CDS,"Glycerophospholipid metabolism"
CDSm,"Glycerophospholipid metabolism"
CHAT,"Glycerophospholipid metabolism"
CHATn,"Glycerophospholipid metabolism"
CHOLATEt,"Transport, Extracellular"
CHOLATEt2,"Transport, Extracellular"
CHOLtn,"Transport, Nuclear"
CHSTEROLt2,"Transport, Mitochondrial"
CITMCOAHm,"Pyruvate metabolism"
CITMCOALm,"Pyruvate metabolism"
CITRte,"Transport, Extracellular"
CITRtm,"Transport, Mitochondrial"
CITtam,"Transport, Mitochondrial"
CITtn,"Transport, Nuclear"
CLHCO3tex2,"Transport, Extracellular"
CLOXAtex2,"Transport, Extracellular"
CO2tn,"Transport, Nuclear"
COAtp,"Transport, Peroxisomal"
COAtr,"Transport, Endoplasmic reticular"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CRNt,"Transport, Extracellular"
CRNtim,"Transport, Mitochondrial"
CRNtr,"Transport, Endoplasmic reticular"
CRNtuNa,"Transport, Extracellular"
CSNAT2m,"Carnitine metabolism"
CSm,"Citric acid cycle"
CTPtm,"Transport, Mitochondrial"
CYSATB0tc,"Transport, Extracellular"
CYSGLTH,"Methionine and cysteine metabolism"
CYSO,"Methionine and cysteine metabolism"
CYSRED,"Methionine and cysteine metabolism"
CYSTGL,"Methionine and cysteine metabolism"
CYSTS,"Methionine and cysteine metabolism"
CYSt4,"Transport, Extracellular"
DESAT16_1,"Fatty acid desaturation"
DGCHOLt2e,"Transport, Extracellular"
DGCHOLte,"Transport, Extracellular"
DHCR241r,"Cholesterol metabolism"
DHFR3m,"Folate metabolism"
DHFR3x,"Folate metabolism"
DHFRm,"Folate metabolism"
DHPM2,"Nucleotide salvage pathway"
DLD,"Glycine, serine and threonine metabolism"
DM_kdn[c],"Exchange/Demand"
DM_neuromelanin(c),"Exchange/Demand"
DM_thyoxs[c],"Exchange/Demand"
DNAdeg,"Biomass"
DNPH4,"Nucleotide salvage pathway"
DOPABMO,"Tyrosine metabolism"
DOPACHRMDC,"Tyrosine metabolism"
DOPACHRMISO,"Tyrosine metabolism"
DOPAMT,"Tyrosine metabolism"
DOPAOQCYS,"Tyrosine metabolism"
DOPAQNISO1,"Tyrosine metabolism"
DOPAt4_2_r,"Transport, Extracellular"
DOPAtu,"Transport, Extracellular"
DPCOAK,"CoA metabolism"
DRPA,"Pentose phosphate pathway"
D_3AIBt,"Transport, Extracellular"
EBP2r,"Cholesterol metabolism"
ESTRONESt,"Transport, Extracellular"
ETHP,"Glycerophospholipid metabolism"
EX_2mcit(e),"Exchange/Demand"
EX_335trithyr(e),"Exchange/Demand"
EX_34dhoxmand(e),"Exchange/Demand"
EX_3aib_D(e),"Exchange/Demand"
EX_3mlda(e),"Exchange/Demand"
EX_4abut(e),"Exchange/Demand"
EX_4hphac(e),"Exchange/Demand"
EX_5htrp(e),"Exchange/Demand"
EX_ac(e),"Exchange/Demand"
EX_akg(e),"Exchange/Demand"
EX_ala_L(e),"Exchange/Demand"
EX_asp_L(e),"Exchange/Demand"
EX_bildglcur(e),"Exchange/Demand"
EX_bilglcur(e),"Exchange/Demand"
EX_cgly(e),"Exchange/Demand"
EX_co(e),"Exchange/Demand"
EX_co2(e),"Exchange/Demand"
EX_glu_L(e),"Exchange/Demand"
EX_h2o2(e),"Exchange/Demand"
EX_homoval(e),"Exchange/Demand"
EX_i(e),"Exchange/Demand"
EX_isomal(e),"Exchange/Demand"
EX_lac_L(e),"Exchange/Demand"
EX_meoh(e),"Exchange/Demand"
EX_na1(e),"Unknown"
EX_oxa(e),"Exchange/Demand"
EX_phacgly(e),"Exchange/Demand"
EX_pnto_R(e),"Exchange/Demand"
EX_pyr(e),"Exchange/Demand"
EX_so4(e),"Exchange/Demand"
EX_taur(e),"Exchange/Demand"
EX_tsul(e),"Exchange/Demand"
EX_urate(e),"Exchange/Demand"
FA40ACPH,"Fatty acid synthesis"
FACOAL160i,"Fatty acid activation"
FACOAL191,"Fatty acid activation"
FACOAL40im,"Fatty acid activation"
FAE180,"Fatty acid elongation"
FAE181,"Fatty acid elongation"
FAE200,"Fatty acid elongation"
FAE220,"Fatty acid elongation"
FAE240,"Fatty acid elongation"
FAE260,"Fatty acid elongation"
FALDtn,"Transport, Nuclear"
FALDtx,"Transport, Mitochondrial"
FATP1t,"Transport, Extracellular"
FATP9t,"Transport, Extracellular"
FCLTm,"Heme synthesis"
FCYTOB5OXRyr,"Unassigned"
FE2tm,"Transport, Mitochondrial"
FECR,"Heme synthesis"
FERO,"Vitamin B2 metabolism"
FOLt2,"Transport, Extracellular"
FOLtm,"Transport, Mitochondrial"
FRUt1r,"Transport, Extracellular"
G6PDA,"Aminosugar metabolism"
G6PDH2r,"Pentose phosphate pathway"
G6Pt6er,"Transport, Endoplasmic reticular"
GALM2,"Galactose metabolism"
GALU,"Galactose metabolism"
GALt1r,"Transport, Extracellular"
GALt2_2,"Transport, Extracellular"
GALt4_2,"Transport, Extracellular"
GCALDD,"Glyoxylate and dicarboxylate metabolism"
GCHOLAt,"Transport, Extracellular"
GCHOLAt2,"Transport, Extracellular"
GCHOLAt2e,"Transport, Extracellular"
GF6PTA,"Aminosugar metabolism"
GGTAe2,"Glutathione metabolism"
GLCter,"Transport, Endoplasmic reticular"
GLCtg,"Transport, Golgi Apparatus"
GLNt4,"Transport, Extracellular"
GLUCYS,"Glutathione metabolism"
GLUDC,"Glutamate metabolism"
GLUDxm,"Glutamate metabolism"
GLUt2m,"Transport, Mitochondrial"
GLUt6,"Transport, Extracellular"
GLXO2p,"Glyoxylate and dicarboxylate metabolism"
GLXtp,"Transport, Peroxisomal"
GLYC3Ptm,"Transport, Mitochondrial"
GLYC3Ptmc,"Transport, Mitochondrial"
GLYCLTDy,"Glyoxylate and dicarboxylate metabolism"
GLYCLTtp,"Transport, Peroxisomal"
GLYCTO1p,"Glyoxylate and dicarboxylate metabolism"
GLYCtm,"Transport, Mitochondrial"
GLYKm,"Glycerophospholipid metabolism"
GLYOp,"Glycine, serine and threonine metabolism"
GLYt4,"Transport, Extracellular"
GLYtm,"Transport, Mitochondrial"
GLYtp,"Transport, Peroxisomal"
GND,"Pentose phosphate pathway"
GPAT,"Urea cycle"
GSNt,"Transport, Extracellular"
GTHDH,"Vitamin C metabolism"
GTHOm,"Glutathione metabolism"
GTHPm,"Glutathione metabolism"
GTHRDte,"Transport, Extracellular"
GTHS,"Glutathione metabolism"
GUACYC,"Nucleotide salvage pathway"
H2O2t,"Transport, Extracellular"
H2O2tm,"Transport, Mitochondrial"
H2O2tp,"Transport, Peroxisomal"
H2Otg,"Transport, Golgi Apparatus"
H2Otn,"Transport, Nuclear"
H2Otp,"Transport, Peroxisomal"
H3K4DMET_1,"Histone modifications"
H3K4DMET_2,"Histone modifications"
H3K4DMET_3,"Histone modifications"
H3K4MET_1,"Histone modifications"
H3K4MET_2,"Histone modifications"
H3K4MET_3,"Histone modifications"
HACD180,"Fatty acid elongation"
HACD181,"Fatty acid elongation"
HACD200,"Fatty acid elongation"
HACD220,"Fatty acid elongation"
HACD240,"Fatty acid elongation"
HACD260,"Fatty acid elongation"
HDCEACRNtr,"Transport, Endoplasmic reticular"
HDCEAtr,"Transport, Extracellular"
HEX12,"Glycolysis/Gluconeogenesis"
HEXCCOAtr,"Transport, Endoplasmic reticular"
HISDC,"Histidine metabolism"
HISt1m,"Transport, Mitochondrial"
HISt4,"Transport, Extracellular"
HIStm,"Transport, Mitochondrial"
HMBS,"Heme synthesis"
HOMOVALte,"Transport, Extracellular"
HOM_Lte,"Transport, Extracellular"
HOMt4,"Transport, Extracellular"
HOXG,"Heme synthesis"
HPACtr,"Transport, Extracellular"
HPYRDC,"Glyoxylate and dicarboxylate metabolism"
HPYRtp,"Transport, Peroxisomal"
HSD180,"Fatty acid elongation"
HSD181,"Fatty acid elongation"
HSD200,"Fatty acid elongation"
HSD220,"Fatty acid elongation"
HSD240,"Fatty acid elongation"
HSD260,"Fatty acid elongation"
HTDH,"CoA metabolism"
Htg,"Transport, Golgi Apparatus"
Htm,"Transport, Mitochondrial"
Htx,"Transport, Peroxisomal"
ICDHyrm,"Citric acid cycle"
IDHPOXOX2b,"Tyrosine metabolism"
IDHPOXOX3,"Tyrosine metabolism"
IDHPOXOXb,"Tyrosine metabolism"
ILEt4,"Transport, Extracellular"
IMAGH,"Unassigned"
ITCOALm,"Unassigned"
It,"Transport, Extracellular"
KDNH,"Aminosugar metabolism"
LACZe,"Galactose metabolism"
LALDD,"Pyruvate metabolism"
LCADi,"Pyruvate metabolism"
LCTStg,"Transport, Extracellular"
LCYSTCBOXL,"Methionine and cysteine metabolism"
LEUKTRD4t,"Transport, Extracellular"
LEUKTRE4t,"Transport, Extracellular"
LEUt4,"Transport, Extracellular"
LKTD4PEP,"Eicosanoid metabolism"
LSTO2r,"Cholesterol metabolism"
LTD4DP,"Eicosanoid metabolism"
LYSCITRt2m,"Transport, Mitochondrial"
LYStm,"Transport, Mitochondrial"
L_LACt2r,"Transport, Extracellular"
MACOXO,"Histidine metabolism"
MALCOAMT,"Carnitine metabolism"
MALCOAMTr,"Carnitine metabolism"
MAN6PI,"Fructose and mannose metabolism"
MCITS,"Propanoate metabolism"
ME1m,"Pyruvate metabolism"
ME2m,"Pyruvate metabolism"
MEOHt2,"Transport, Extracellular"
METAT,"Methionine and cysteine metabolism"
METATB0tc,"Transport, Extracellular"
MHISOR,"Histidine metabolism"
MI1PP,"Inositol phosphate metabolism"
MMEm,"Valine, leucine and isoleucine metabolism"
MMMm,"Valine, leucine and isoleucine metabolism"
MTHFR3x,"Folate metabolism"
NADH2_u10m,"Oxidative phosphorylation"
NADHtru,"Transport, Endoplasmic reticular"
NADPHtru,"Transport, Endoplasmic reticular"
NADPtru,"Transport, Endoplasmic reticular"
NADtru,"Transport, Endoplasmic reticular"
NAIt,"Transport, Extracellular"
NCKt,"Transport, Extracellular"
NDP7er,"Nucleotide salvage pathway"
NDP7g,"Nucleotide salvage pathway"
NDPK8,"Nucleotide interconversions"
NDPK9,"Nucleotide interconversions"
NH4tm,"Transport, Mitochondrial"
NH4tp,"Transport, Peroxisomal"
NM_4,"Tyrosine metabolism"
NM_8,"Tyrosine metabolism"
NRPPHRt4_2_r,"Transport, Extracellular"
NRPPHRtu,"Transport, Extracellular"
NTD10,"Nucleotide salvage pathway"
NTD2,"Nucleotide salvage pathway"
NTD5,"Nucleotide salvage pathway"
NTD7,"Nucleotide salvage pathway"
NTD9,"Nucleotide salvage pathway"
O2tn,"Transport, Nuclear"
O2tp,"Transport, Peroxisomal"
OAADC,"Unassigned"
OAAtn,"Transport, Nuclear"
OBDHc,"Glycine, serine and threonine metabolism"
OCTD11ECOAtr,"Transport, Endoplasmic reticular"
OXALSUCCCLm,"Citric acid cycle"
OXAtp,"Transport, Peroxisomal"
PAAA,"Phenylalanine metabolism"
PACCOAL,"Phenylalanine metabolism"
PAOR,"Phenylalanine metabolism"
PCRNtm,"Transport, Mitochondrial"
PDE1,"Nucleotide salvage pathway"
PDE4,"Nucleotide salvage pathway"
PEMET1,"Sphingolipid metabolism"
PEMET2,"Sphingolipid metabolism"
PE_HStm,"Transport, Mitochondrial"
PGAM1_PhosHydro,"Unassigned"
PGL,"Pentose phosphate pathway"
PGLYCH,"Glycerophospholipid metabolism"
PGMT,"Glycolysis/Gluconeogenesis"
PHACGLYc,"Valine, leucine and isoleucine metabolism"
PHACGLYt,"Transport, Extracellular"
PHEMEtabc,"Transport, Mitochondrial"
PHETA1,"Phenylalanine metabolism"
PHETA1m,"Phenylalanine metabolism"
PHEt4,"Transport, Extracellular"
PHPYRtm,"Transport, Mitochondrial"
PIATPLtm,"Transport, Mitochondrial"
PIGTHRDLtm,"Transport, Mitochondrial"
PIPLC,"Inositol phosphate metabolism"
PItg,"Transport, Golgi Apparatus"
PItn,"Transport, Nuclear"
PMTCOAFABP1tc,"Transport, Endoplasmic reticular"
PNTK,"CoA metabolism"
PNTOt1,"Transport, Extracellular"
PPA,"Oxidative phosphorylation"
PPAer,"Unassigned"
PPBNGS,"Heme synthesis"
PPCDC,"CoA metabolism"
PPCOAOm,"Propanoate metabolism"
PPM,"Pentose phosphate pathway"
PPPG9tm,"Transport, Mitochondrial"
PPPGOm,"Heme synthesis"
PRISTCOAtcx,"Transport, Peroxisomal"
PRISTtx,"Transport, Peroxisomal"
PROSTGE2t,"Transport, Extracellular"
PROSTGH2t,"Transport, Extracellular"
PROSTGH2t5e,"Transport, Extracellular"
PROSTGI2t,"Transport, Extracellular"
PROSTI2t5e,"Transport, Extracellular"
PROt4,"Transport, Extracellular"
PRPNCOAHYDm,"B-alanine metabolism"
PSDm_hs,"Glycerophospholipid metabolism"
PSFLIPm,"Transport, Mitochondrial"
PSSA2_hs,"Glycerophospholipid metabolism"
PTPAT,"CoA metabolism"
PUNP7,"Nucleotide salvage pathway"
PYK,"Glycolysis/Gluconeogenesis"
PYRAKGte,"Transport, Extracellular"
PYRtm,"Transport, Mitochondrial"
RAI1,"Vitamin A metabolism"
RDH1a,"Vitamin A metabolism"
RDH3a,"Vitamin A metabolism"
RETI1,"Vitamin A metabolism"
RPE,"Pentose phosphate pathway"
RTOT4,"R group synthesis"
RTOT5,"R group synthesis"
SADT,"Nucleotide salvage pathway"
SAMHISTA,"Histidine metabolism"
SARCOXp,"Glycine, serine and threonine metabolism"
SARCStp,"Transport, Peroxisomal"
SE3,"Cholesterol metabolism"
SERCYSNaEx,"Transport, Extracellular"
SERt4,"Transport, Extracellular"
SERtp,"Transport, Peroxisomal"
SO4CLtex,"Transport, Extracellular"
SO4CLtex2,"Transport, Extracellular"
SOAT2,"Cholesterol metabolism"
SPTx,"Glycine, serine and threonine metabolism"
SUCCt4_3,"Transport, Extracellular"
TAURCHAe,"Transport, Extracellular"
TECR180,"Fatty acid elongation"
TECR181,"Fatty acid elongation"
TECR200,"Fatty acid elongation"
TECR220,"Fatty acid elongation"
TECR240,"Fatty acid elongation"
TECR260,"Fatty acid elongation"
THBPT4ACAMDASE,"Tetrahydrobiopetrin metabolism"
THFtm,"Transport, Mitochondrial"
THRt4,"Transport, Extracellular"
THYPX,"Tyrosine metabolism"
THYRDI,"Phenylalanine metabolism"
THYRDI2,"Phenylalanine metabolism"
THYST,"Tyrosine metabolism"
TKT1,"Pentose phosphate pathway"
TKT2,"Pentose phosphate pathway"
TRPHYDRO2,"Tryptophan metabolism"
TTDCAtr,"Transport, Extracellular"
TYRCBOX,"Tyrosine metabolism"
TYRDOPO,"Tyrosine metabolism"
TYRDOPOX,"Tyrosine metabolism"
TYROX,"Tyrosine metabolism"
TYROXDAc,"Tyrosine metabolism"
TYRTA,"Tyrosine metabolism"
TYRt4,"Transport, Extracellular"
UDPG4E,"Galactose metabolism"
UDPGALtg,"Transport, Golgi Apparatus"
UDPGCURtr,"Transport, Endoplasmic reticular"
UDPGD,"Starch and sucrose metabolism"
UDPGLCAter,"Transport, Endoplasmic reticular"
UGALGTg,"Galactose metabolism"
UGT1A10r,"Steroid metabolism"
UGT1A2r,"Steroid metabolism"
UMPtr,"Transport, Endoplasmic reticular"
UPP3S,"Heme synthesis"
UPPDC1,"Heme synthesis"
URIK2,"Nucleotide salvage pathway"
URIK4,"Nucleotide salvage pathway"
VALATB0tc,"Transport, Extracellular"
VALt4,"Transport, Extracellular"
ZN2te,"Transport, Extracellular"
ZNte,"Transport, Extracellular"
Zn2t,"Transport, Extracellular"
