Reaction,Subsystem
GAL3ST11,"Sphingolipid metabolism"
GALASE17ly,"Keraton sulfate degradation"
GALASE18ly,"Keraton sulfate degradation"
GALASE19ly,"Keraton sulfate degradation"
GALASE1ly,"N-glycan degradation"
GALNTg,"O-glycan synthesis"
GALSIDEtg,"Transport, Golgi Apparatus"
GALSIDEtl,"Transport, Lysosomal"
GALt4,"Transport, Extracellular"
GALtly,"Transport, Lysosomal"
GAPD,"Glycolysis/Gluconeogenesis"
GASNASEly,"N-glycan degradation"
GDPFUCtg,"Transport, Golgi Apparatus"
GDPtg,"Transport, Golgi Apparatus"
GFUCS,"Aminosugar metabolism"
GFUCSx,"Aminosugar metabolism"
GHMT2rm,"Glycine, serine and threonine metabolism"
GLCMter,"Transport, Extracellular"
GLCNACPT,"N-glycan synthesis"
GLCNACT,"N-glycan synthesis"
GLCOASYNT,"Lysine metabolism"
GLCURter,"Transport, Endoplasmic reticular"
GLCURtly,"Transport, Lysosomal"
GLNATB0tc,"Transport, Extracellular"
GLUDym,"Glutamate metabolism"
GLYBtm,"Transport, Mitochondrial"
GLYt2r,"Transport, Extracellular"
GMAND,"Aminosugar metabolism"
GMPtg,"Transport, Golgi Apparatus"
GTPGDPtm,"Transport, Mitochondrial"
GUAPRT,"Nucleotide salvage pathway"
GULOer,"Vitamin C metabolism"
H2O2ter,"Transport, Endoplasmic reticular"
H2Otly,"Transport, Lysosomal"
HACD1m,"Tryptophan metabolism"
HACD201,"Fatty acid elongation"
HACD221,"Fatty acid elongation"
HACD241,"Fatty acid elongation"
HAS1,"Hyaluronan metabolism"
HAS2,"Hyaluronan metabolism"
HAtly,"Transport, Lysosomal"
HDCAter,"Transport, Endoplasmic reticular"
HEX16,"Fructose and mannose metabolism"
HEX4,"Fructose and mannose metabolism"
HSD201,"Fatty acid elongation"
HSD221,"Fatty acid elongation"
HSD241,"Fatty acid elongation"
HSD3B11,"Steroid metabolism"
HSD3B11r,"Steroid metabolism"
HSD3B13r,"Steroid metabolism"
HYAL,"Hyaluronan metabolism"
HYALe,"Hyaluronan metabolism"
KYNAKGAT,"Tryptophan metabolism"
KYNATESYN,"Tryptophan metabolism"
KYNATEtr,"Transport, Extracellular"
LCADi_D,"Pyruvate metabolism"
LEUKTRC4t,"Transport, Extracellular"
LPSe,"Glycerophospholipid metabolism"
M1316M2g,"N-glycan synthesis"
M1316Mg,"N-glycan synthesis"
M13N2Tg,"N-glycan synthesis"
M13N4T2g,"N-glycan synthesis"
M13N4Tg,"N-glycan synthesis"
M16N4Tg,"N-glycan synthesis"
M16N6T2g,"N-glycan synthesis"
M16N6Tg,"N-glycan synthesis"
M16NT1g,"N-glycan synthesis"
M16NTg,"N-glycan synthesis"
M4MPDOL_ter,"N-glycan synthesis"
MAN1PT2,"Fructose and mannose metabolism"
MANtg,"Transport, Golgi Apparatus"
MANtly,"Transport, Lysosomal"
MDH,"Citric acid cycle"
MDHm,"Citric acid cycle"
MG1er,"N-glycan synthesis"
MG2er,"N-glycan synthesis"
MG3er,"N-glycan synthesis"
MGSA,"Pyruvate metabolism"
MTHFCm,"Folate metabolism"
MTHFDm,"Folate metabolism"
NACHEX24ly,"Keraton sulfate degradation"
NACHEX25ly,"Keraton sulfate degradation"
NADHtpu,"Transport, Peroxisomal"
NADtx,"Transport, Peroxisomal"
NAGA2ly,"Keraton sulfate degradation"
NAGLCAly,"Keraton sulfate degradation"
NDPK1,"Nucleotide interconversions"
NDPK2,"Nucleotide interconversions"
NDPK6,"Nucleotide interconversions"
NOS2,"Arginine and proline metabolism"
NRVNCCOAtr,"Transport, Endoplasmic reticular"
NRVNCCOAtxc,"Transport, Peroxisomal"
NWHARGOR,"Arginine and proline metabolism"
O2St,"Transport, Extracellular"
OCDCEACRNtr,"Transport, Endoplasmic reticular"
OCDE9ECOAtr,"Transport, Endoplasmic reticular"
OCDEAFABP1tc,"Transport, Endoplasmic reticular"
ORNt,"Transport, Extracellular"
OXOADLR,"Lysine metabolism"
P45011A1m,"Steroid metabolism"
P45011B11m,"Steroid metabolism"
P45011B12m,"Steroid metabolism"
P45017A1r,"Steroid metabolism"
P45021A1r,"Steroid metabolism"
P45021A2r,"Steroid metabolism"
P4504F121r,"Eicosanoid metabolism"
PAPStg,"Transport, Golgi Apparatus"
PAPtg,"Transport, Golgi Apparatus"
PCFLOPm,"Transport, Mitochondrial"
PETOHMm_hs,"Glycerophospholipid metabolism"
PGK,"Glycolysis/Gluconeogenesis"
PGM,"Glycolysis/Gluconeogenesis"
PHEMEtm,"Transport, Mitochondrial"
PLMCOAPTr,"Carnitine metabolism"
PMANM,"Fructose and mannose metabolism"
PPCOAtm,"Transport, Mitochondrial"
PPDOy,"Pyruvate metabolism"
PPItm,"Transport, Mitochondrial"
PPOR,"Phenylalanine metabolism"
PRGNLONEtm,"Transport, Mitochondrial"
PRGNLONEtr,"Transport, Endoplasmic reticular"
PRGSTRNt,"Transport, Extracellular"
PROSTGE1t5e,"Transport, Extracellular"
PUNP3,"Nucleotide salvage pathway"
Pit4,"Transport, Mitochondrial"
RNAdeg,"Biomass"
RTOT3,"R group synthesis"
RTOTALFATPc,"Transport, Extracellular"
S26Tg,"N-glycan synthesis"
S2L2FN2M2MASNt,"Transport, Extracellular"
S2L2N2M2MASNtly,"Transport, Lysosomal"
S6TASE24ly,"Keraton sulfate degradation"
SARCStm,"Transport, Mitochondrial"
SBTD_D2,"Fructose and mannose metabolism"
SBTR,"Fructose and mannose metabolism"
SE1,"Cholesterol metabolism"
SERALANaEx,"Transport, Extracellular"
SERTm,"Transport, Mitochondrial"
SFGTH,"Tyrosine metabolism"
SGALSIDEtg,"Transport, Golgi Apparatus"
SGALSIDEtl,"Transport, Lysosomal"
SIAASEly,"N-glycan degradation"
SK_Asn_X_Ser/Thr[r],"Sink"
SO4HCOtex,"Transport, Extracellular"
SO4OXAtex2,"Transport, Extracellular"
SO4t4_3,"Transport, Extracellular"
SO4tl,"Transport, Lysosomal"
SOAT1,"Cholesterol metabolism"
SSALym,"Glutamate metabolism"
Ser/Thrtg,"Transport, Golgi Apparatus"
TAGt,"Transport, Extracellular"
TD2GLTRCOAm,"Lysine metabolism"
TECR201,"Fatty acid elongation"
TECR221,"Fatty acid elongation"
TECR241,"Fatty acid elongation"
THR3Dx,"Glycine, serine and threonine metabolism"
THRA,"Glycine, serine and threonine metabolism"
THRALANaEx,"Transport, Extracellular"
THYOXt,"Transport, Extracellular"
THYRIDHD,"Phenylalanine metabolism"
TRDR,"Nucleotide salvage pathway"
TRIODTHYt,"Transport, Extracellular"
TRPILETRPr,"Peptide metabolism"
TRPILETRPt,"Transport, Extracellular"
TRPO2,"Tryptophan metabolism"
TTDCPT1,"Carnitine metabolism"
TTDCPT2,"Carnitine metabolism"
TTDCRNt,"Transport, Mitochondrial"
TYRATB0tc,"Transport, Extracellular"
UAG2EMAi,"Aminosugar metabolism"
UAGDP,"Aminosugar metabolism"
UDPACGALtl,"Transport, Lysosomal"
UDPDOLPT,"N-glycan synthesis"
UDPtl,"Transport, Lysosomal"
UGALNACtg,"Transport, Golgi Apparatus"
UGLCNACtg,"Transport, Golgi Apparatus"
URATEt,"Transport, Extracellular"
UREAt,"Transport, Extracellular"
VALVALr,"Peptide metabolism"
VALVALt,"Transport, Extracellular"
WHARACHDt5e,"Transport, Extracellular"
WHARACHDtr,"Transport, Endoplasmic reticular"
XAND,"Nucleotide salvage pathway"
