Reaction,Subsystem
GALASE17ly,"Keraton sulfate degradation"
GALASE18ly,"Keraton sulfate degradation"
GALASE19ly,"Keraton sulfate degradation"
GALGT4,"Sphingolipid metabolism"
GALNTg,"O-glycan synthesis"
GALt4,"Transport, Extracellular"
GALtly,"Transport, Lysosomal"
GDPFUCtg,"Transport, Golgi Apparatus"
GDPtg,"Transport, Golgi Apparatus"
GFUCSx,"Aminosugar metabolism"
GHMT2rm,"Glycine, serine and threonine metabolism"
GLACter,"Transport, Endoplasmic reticular"
GLCMter,"Transport, Extracellular"
GLCNACPT,"N-glycan synthesis"
GLCNACT,"N-glycan synthesis"
GLCURter,"Transport, Endoplasmic reticular"
GLCURtly,"Transport, Lysosomal"
GLRASE,"Vitamin C metabolism"
GLU5Km,"Urea cycle"
GLU5SAtmc,"Transport, Mitochondrial"
GLYAMDTRc,"Urea cycle"
GLYHISASNr,"Peptide metabolism"
GLYHISASNt,"Transport, Extracellular"
GLYtm,"Transport, Mitochondrial"
GMAND,"Aminosugar metabolism"
GMPS,"Bile acid synthesis"
GMPtg,"Transport, Golgi Apparatus"
GP1CALPHAte,"Transport, Extracellular"
GP1CALPHAtg,"Transport, Golgi Apparatus"
GULLACter,"Transport, Endoplasmic reticular"
GULOer,"Vitamin C metabolism"
H2O2ter,"Transport, Endoplasmic reticular"
H2Ot,"Transport, Extracellular"
H2Otly,"Transport, Lysosomal"
H2Stm,"Transport, Mitochondrial"
H3K4DMET_1,"Histone modifications"
H3K4MET_1,"Histone modifications"
HACD181,"Fatty acid elongation"
HACD1m,"Tryptophan metabolism"
HACD201,"Fatty acid elongation"
HACD221,"Fatty acid elongation"
HACD224,"Fatty acid elongation"
HACD241,"Fatty acid elongation"
HACD244,"Fatty acid elongation"
HAtly,"Transport, Lysosomal"
HEX12,"Glycolysis/Gluconeogenesis"
HEX16,"Fructose and mannose metabolism"
HISt1m,"Transport, Mitochondrial"
HSD11B1r,"Steroid metabolism"
HSD11B2r,"Steroid metabolism"
HSD17B1,"Steroid metabolism"
HSD17B8r,"Steroid metabolism"
HSD181,"Fatty acid elongation"
HSD201,"Fatty acid elongation"
HSD221,"Fatty acid elongation"
HSD224,"Fatty acid elongation"
HSD241,"Fatty acid elongation"
HSD244,"Fatty acid elongation"
HSD3B13r,"Steroid metabolism"
HYAL,"Hyaluronan metabolism"
ICDHyrm,"Citric acid cycle"
IDHPOXOX2b,"Tyrosine metabolism"
IDHPOXOX3,"Tyrosine metabolism"
IDHPOXOXb,"Tyrosine metabolism"
ILEGLYARGr,"Peptide metabolism"
ILEGLYARGt,"Transport, Extracellular"
ILEt4,"Transport, Extracellular"
It,"Transport, Extracellular"
KCC2t,"Transport, Extracellular"
KSII_CORE2t,"Transport, Extracellular"
KSII_CORE2tly,"Transport, Lysosomal"
LCYSTCBOXL,"Methionine and cysteine metabolism"
LEUKTRC4t,"Transport, Extracellular"
LEUKTRD4t,"Transport, Extracellular"
LEUKTRE4t,"Transport, Extracellular"
LKTD4PEP,"Eicosanoid metabolism"
LTD4DP,"Eicosanoid metabolism"
LYSHIStm,"Transport, Mitochondrial"
LYStm,"Transport, Mitochondrial"
M1316Mg,"N-glycan synthesis"
M13N2Tg,"N-glycan synthesis"
M14NTg,"N-glycan synthesis"
M16NTg,"N-glycan synthesis"
M4MPDOL_ter,"N-glycan synthesis"
M8MASNterg,"N-glycan synthesis"
MACOXO,"Histidine metabolism"
MALCOAMT,"Carnitine metabolism"
MALCOAMTr,"Carnitine metabolism"
MALTSULtm,"Transport, Mitochondrial"
MANtg,"Transport, Golgi Apparatus"
METt4,"Transport, Extracellular"
MG1er,"N-glycan synthesis"
MG2er,"N-glycan synthesis"
MG3er,"N-glycan synthesis"
MHISOR,"Histidine metabolism"
MI14PP,"Inositol phosphate metabolism"
MI4PP,"Inositol phosphate metabolism"
MM5ag,"N-glycan synthesis"
MM6bg,"N-glycan synthesis"
MM7Cag,"N-glycan synthesis"
MM8Ag,"N-glycan synthesis"
MTHFC,"Folate metabolism"
MTHFCm,"Folate metabolism"
MTHFD,"Folate metabolism"
MTHFDm,"Folate metabolism"
N2M2NMASNt,"Transport, Extracellular"
N3Tg,"O-glycan synthesis"
NACHEX23ly,"Keraton sulfate degradation"
NACHEX24ly,"Keraton sulfate degradation"
NACHEX25ly,"Keraton sulfate degradation"
NAGA2ly,"Keraton sulfate degradation"
NAGLCAly,"Keraton sulfate degradation"
NDP6,"Nucleotide salvage pathway"
NDPK2,"Nucleotide interconversions"
NQO2,"Unassigned"
NRPPHRVESSEC,"Transport, Extracellular"
NRVNCCOAtr,"Transport, Endoplasmic reticular"
OAADC,"Unassigned"
OCDEAFABP1tc,"Transport, Endoplasmic reticular"
OCTD11ECOAtr,"Transport, Endoplasmic reticular"
ORNDC,"Urea cycle"
P45011B12m,"Steroid metabolism"
P45017A1r,"Steroid metabolism"
P45021A2r,"Steroid metabolism"
PAPStg,"Transport, Golgi Apparatus"
PAPtg,"Transport, Golgi Apparatus"
PA_HSter,"Transport, Endoplasmic reticular"
PA_HStg,"Transport, Golgi Apparatus"
PCHOLP_hs,"Glycerophospholipid metabolism"
PCHOLPg_hs,"Glycerophospholipid metabolism"
PCHOLPr_hs,"Glycerophospholipid metabolism"
PCHOL_HSter,"Transport, Endoplasmic reticular"
PCHOL_HStg,"Transport, Golgi Apparatus"
PCREATtmdiffir,"Transport, Mitochondrial"
PETHCT,"Glycerophospholipid metabolism"
PFK_4,"Unassigned"
PI4PLC,"Inositol phosphate metabolism"
PIter,"Transport, Endoplasmic reticular"
PMTCOAFABP1tc,"Transport, Endoplasmic reticular"
PPA,"Oxidative phosphorylation"
PRO1x,"Arginine and proline metabolism"
PROD2,"Arginine and proline metabolism"
PRSDO,"Oxidative phosphorylation"
PYK6,"Glycolysis/Gluconeogenesis"
PYRFORte,"Transport, Extracellular"
PYRLACte,"Transport, Extracellular"
PYRt2m,"Transport, Mitochondrial"
RAI2,"Vitamin A metabolism"
RDH2a,"Vitamin A metabolism"
RETI2,"Vitamin A metabolism"
S23T2g,"Keraton sulfate synthesis"
S6T1g,"Keraton sulfate synthesis"
S6T2g,"Keraton sulfate synthesis"
S6T3g,"Keraton sulfate synthesis"
S6TASE22ly,"Keraton sulfate degradation"
S6TASE23ly,"Keraton sulfate degradation"
S6TASE24ly,"Keraton sulfate degradation"
SACCD4m,"Lysine metabolism"
SAMHISTA,"Histidine metabolism"
SBPP3er,"Sphingolipid metabolism"
SERCYSNaEx,"Transport, Extracellular"
SERTm,"Transport, Mitochondrial"
SIAASE3ly,"Keraton sulfate degradation"
SIAT9g,"Sphingolipid metabolism"
SK_Asn_X_Ser/Thr[r],"Sink"
SO4OXAtex2,"Transport, Extracellular"
SO4t4_3,"Transport, Extracellular"
SO4tl,"Transport, Lysosomal"
SPHINGStr,"Transport, Endoplasmic reticular"
SPHK21c,"Sphingolipid metabolism"
SPHS1Ptr,"Transport, Endoplasmic reticular"
SQOR2m,"Oxidative phosphorylation"
SQORm,"Oxidative phosphorylation"
ST6GALNAC27,"Sphingolipid metabolism"
ST8SIA12,"Sphingolipid metabolism"
ST8SIA51g,"Sphingolipid metabolism"
ST8SIA55g,"Sphingolipid metabolism"
SUCCACONtm,"Transport, Mitochondrial"
Ser/Thrtg,"Transport, Golgi Apparatus"
TAURCHAe,"Transport, Extracellular"
TCHOLAt,"Transport, Extracellular"
TCHOLAt2,"Transport, Extracellular"
TD2GLTRCOAm,"Lysine metabolism"
TECR181,"Fatty acid elongation"
TECR201,"Fatty acid elongation"
TECR221,"Fatty acid elongation"
TECR224,"Fatty acid elongation"
TECR241,"Fatty acid elongation"
TECR244,"Fatty acid elongation"
THRA,"Glycine, serine and threonine metabolism"
THRALANaEx,"Transport, Extracellular"
THRCYSNaEx,"Transport, Extracellular"
THYOXt,"Transport, Extracellular"
THYPX,"Tyrosine metabolism"
TRIODTHYSUFt,"Transport, Extracellular"
TRIODTHYt,"Transport, Extracellular"
TSCTS,"Oxidative phosphorylation"
TSULt4_3,"Transport, Extracellular"
TTCTECOAtr,"Transport, Endoplasmic reticular"
TYRt4,"Transport, Extracellular"
UAG2EMAi,"Aminosugar metabolism"
UDPACGALtl,"Transport, Lysosomal"
UDPDOLPT,"N-glycan synthesis"
UDPGCURtr,"Transport, Endoplasmic reticular"
UDPtl,"Transport, Lysosomal"
UGALNACtg,"Transport, Golgi Apparatus"
UGCGc,"Sphingolipid metabolism"
UMPK5,"Nucleotide interconversions"
URATEti,"Transport, Extracellular"
UROLACer,"Vitamin C metabolism"
URPT,"Nucleotide salvage pathway"
VALt4,"Transport, Extracellular"
q10h2tc,"Transport, Mitochondrial"
q10tm,"Transport, Mitochondrial"
