Reaction,Subsystem
BPNT,"Nucleotide salvage pathway"
C4STMO2Pr,"Cholesterol metabolism"
C4STMO2r,"Cholesterol metabolism"
CACT7p,"Transport, Mitochondrial"
CACT7r,"Transport, Peroxisomal"
CMPACNAtg,"Transport, Golgi Apparatus"
CMPSAS,"Aminosugar metabolism"
CORE3GTg,"O-glycan synthesis"
CORE4GTg,"O-glycan synthesis"
CREATt,"Transport, Extracellular"
CYSAMO,"CoA metabolism"
CYSGLTH,"Methionine and cysteine metabolism"
CYSRED,"Methionine and cysteine metabolism"
DALAOXx,"Miscellaneous"
DALAt2r,"Transport, Extracellular"
DALAxt,"Transport, Peroxisomal"
DGCHOLt2e,"Transport, Extracellular"
DGCHOLte,"Transport, Extracellular"
DGULND,"Pentose and glucuronate interconversions"
DHRT_ivcoa,"Valine, leucine and isoleucine metabolism"
DM_5hoxnfkyn[c],"Exchange/Demand"
DM_ivgly[n],"Exchange/Demand"
DOLASNTer,"N-glycan synthesis"
DOLDPPer,"N-glycan synthesis"
DOLGLCP_ter,"Transport, Endoplasmic reticular"
DOLMANP_ter,"Transport, Endoplasmic reticular"
DOLPGT1er,"N-glycan synthesis"
DOLPGT2er,"N-glycan synthesis"
DOLPGT3er,"N-glycan synthesis"
DOLPMT,"N-glycan synthesis"
DOLPMT1er,"N-glycan synthesis"
DOLPMT2_er,"N-glycan synthesis"
DOLPMT3er,"N-glycan synthesis"
DOLPMT4_er,"N-glycan synthesis"
DOLP_ter,"Transport, Endoplasmic reticular"
DUTPDP,"Nucleotide salvage pathway"
D_LACt2,"Transport, Extracellular"
EX_2m3hvac(e),"Exchange/Demand"
EX_4abut(e),"Exchange/Demand"
EX_Lhcystin(e),"Exchange/Demand"
EX_adpoh(e),"Exchange/Demand"
EX_akg(e),"Exchange/Demand"
EX_gluglu(e),"Exchange/Demand"
EX_glumet(e),"Exchange/Demand"
EX_hisglu(e),"Exchange/Demand"
EX_ksi(e),"Exchange/Demand"
EX_o2s(e),"Exchange/Demand"
EX_serglyglu(e),"Exchange/Demand"
EX_so4(e),"Exchange/Demand"
EX_succ(e),"Exchange/Demand"
EX_taur(e),"Exchange/Demand"
EX_thyox_L(e),"Exchange/Demand"
F6T2g,"N-glycan synthesis"
FAE201,"Fatty acid elongation"
FAE221,"Fatty acid elongation"
FAE224,"Fatty acid elongation"
FAE241,"Fatty acid elongation"
FAE244,"Fatty acid elongation"
FBA4,"Glyoxylate and dicarboxylate metabolism"
FCYTOB5OXRyr,"Unassigned"
FDH,"Fatty acid oxidation"
G12MT1,"N-glycan synthesis"
G12MT2,"N-glycan synthesis"
G13MT,"N-glycan synthesis"
G14T10g,"Keraton sulfate synthesis"
G14T11g,"Keraton sulfate synthesis"
G14T12g,"Keraton sulfate synthesis"
G14T13g,"Keraton sulfate synthesis"
G14T14g,"Keraton sulfate synthesis"
G14T15g,"Keraton sulfate synthesis"
G14T16g,"Keraton sulfate synthesis"
G14T17g,"Keraton sulfate synthesis"
G14T18g,"Keraton sulfate synthesis"
G14T19g,"Keraton sulfate synthesis"
G14T20g,"Keraton sulfate synthesis"
G14T21g,"Keraton sulfate synthesis"
G14T6g,"Keraton sulfate synthesis"
G14T7g,"Keraton sulfate synthesis"
G14T8g,"Keraton sulfate synthesis"
G14T9g,"Keraton sulfate synthesis"
G14Tg,"N-glycan synthesis"
G16MT,"N-glycan synthesis"
G5SADr,"Arginine and proline metabolism"
GALASE17ly,"Keraton sulfate degradation"
GALASE18ly,"Keraton sulfate degradation"
GALASE19ly,"Keraton sulfate degradation"
GALASE20ly,"Keraton sulfate degradation"
GALNTg,"O-glycan synthesis"
GALt4,"Transport, Extracellular"
GALtly,"Transport, Lysosomal"
GCHOLAt,"Transport, Extracellular"
GCHOLAt2e,"Transport, Extracellular"
GDPFUCtg,"Transport, Golgi Apparatus"
GDPtg,"Transport, Golgi Apparatus"
GF6PTA,"Aminosugar metabolism"
GFUCS,"Aminosugar metabolism"
GLACter,"Transport, Endoplasmic reticular"
GLCNACPT,"N-glycan synthesis"
GLCNACT,"N-glycan synthesis"
GLCURter,"Transport, Endoplasmic reticular"
GLCURtly,"Transport, Lysosomal"
GLCter,"Transport, Endoplasmic reticular"
GLNLASEer,"Vitamin C metabolism"
GLNtm,"Transport, Mitochondrial"
GLRASE,"Vitamin C metabolism"
GLU5SAtmc,"Transport, Mitochondrial"
GLUGLUr,"Peptide metabolism"
GLUGLUt,"Transport, Extracellular"
GLUMETr,"Peptide metabolism"
GLUMETt,"Transport, Extracellular"
GLUNm,"Glutamate metabolism"
GLYACT1,"Glycine, serine and threonine metabolism"
GLYC3Ptm,"Transport, Mitochondrial"
GLYC3Ptmc,"Transport, Mitochondrial"
GLYCtm,"Transport, Mitochondrial"
GMAND,"Aminosugar metabolism"
GMPtg,"Transport, Golgi Apparatus"
GPAMm_hs,"Glycerophospholipid metabolism"
GSADHm,"Urea cycle"
GULLACter,"Transport, Endoplasmic reticular"
GULN3D,"Pentose and glucuronate interconversions"
GULNDer,"Pentose and glucuronate interconversions"
GULNter,"Transport, Endoplasmic reticular"
H2Otg,"Transport, Golgi Apparatus"
H2Otly,"Transport, Lysosomal"
HACD201,"Fatty acid elongation"
HACD221,"Fatty acid elongation"
HACD224,"Fatty acid elongation"
HACD241,"Fatty acid elongation"
HACD244,"Fatty acid elongation"
HAS1,"Hyaluronan metabolism"
HAS2,"Hyaluronan metabolism"
HAtly,"Transport, Lysosomal"
HCO3Ee,"Urea cycle"
HEX16,"Fructose and mannose metabolism"
HISGLUr,"Peptide metabolism"
HISGLUt,"Transport, Extracellular"
HSD201,"Fatty acid elongation"
HSD221,"Fatty acid elongation"
HSD224,"Fatty acid elongation"
HSD241,"Fatty acid elongation"
HSD244,"Fatty acid elongation"
HTDH,"CoA metabolism"
HYAL,"Hyaluronan metabolism"
Htg,"Transport, Golgi Apparatus"
KHK2,"Glyoxylate and dicarboxylate metabolism"
KSII_CORE4t,"Transport, Extracellular"
KSII_CORE4tly,"Transport, Lysosomal"
KSIt,"Transport, Extracellular"
LEUTAm,"Valine, leucine and isoleucine metabolism"
LEUt5m,"Transport, Mitochondrial"
LHCYSTIN,"Methionine and cysteine metabolism"
LHCYSTINt,"Transport, Extracellular"
M1316M2g,"N-glycan synthesis"
M13N2Tg,"N-glycan synthesis"
M16NT1g,"N-glycan synthesis"
M4MPDOL_ter,"N-glycan synthesis"
M8MASNterg,"N-glycan synthesis"
MAN1PT2,"Fructose and mannose metabolism"
MAN6PI,"Fructose and mannose metabolism"
MANtg,"Transport, Golgi Apparatus"
MG1er,"N-glycan synthesis"
MG2er,"N-glycan synthesis"
MG3er,"N-glycan synthesis"
MM5ag,"N-glycan synthesis"
MM6bg,"N-glycan synthesis"
MM7Cbg,"N-glycan synthesis"
MM8Cg,"N-glycan synthesis"
MOD_3mhop,"Valine, leucine and isoleucine metabolism"
MTHFD2,"Folate metabolism"
NACHEX24ly,"Keraton sulfate degradation"
NACHEX25ly,"Keraton sulfate degradation"
NACHEX26ly,"Keraton sulfate degradation"
NAGA2ly,"Keraton sulfate degradation"
NAGLCAly,"Keraton sulfate degradation"
NCKt,"Transport, Extracellular"
NDP7g,"Nucleotide salvage pathway"
NH4tm,"Transport, Mitochondrial"
NMNS,"NAD metabolism"
NRPPHRtu,"Transport, Extracellular"
NRVNCCOAtr,"Transport, Endoplasmic reticular"
O2St,"Transport, Extracellular"
OCOAT1m,"Valine, leucine and isoleucine metabolism"
ORNt4m,"Transport, Mitochondrial"
PAN4PP,"CoA metabolism"
PAPStg,"Transport, Golgi Apparatus"
PAPtg,"Transport, Golgi Apparatus"
PCLAD,"Tryptophan metabolism"
PEPCK,"Glycolysis/Gluconeogenesis"
PE_HStm,"Transport, Mitochondrial"
PGMT,"Glycolysis/Gluconeogenesis"
PItg,"Transport, Golgi Apparatus"
PMANM,"Fructose and mannose metabolism"
PNTEH,"CoA metabolism"
PNTK,"CoA metabolism"
PPABUTte,"Transport, Extracellular"
PPAer,"Unassigned"
PPCDC,"CoA metabolism"
PPNCL2,"CoA metabolism"
PRISTANALtx,"Transport, Peroxisomal"
PRISTtx,"Transport, Peroxisomal"
PRO1x,"Arginine and proline metabolism"
PUNP1,"Nucleotide salvage pathway"
PYRLACte,"Transport, Extracellular"
PYRt2p,"Transport, Peroxisomal"
RDH1,"Vitamin A metabolism"
RND214,"Transport, Extracellular"
RTOTALCRNCPT1,"Carnitine metabolism"
RTOTALCRNCPT2,"Carnitine metabolism"
RTOTALCRNt,"Transport, Mitochondrial"
S23T3g,"Keraton sulfate synthesis"
S23T4g,"Keraton sulfate synthesis"
S6T10g,"Keraton sulfate synthesis"
S6T11g,"Keraton sulfate synthesis"
S6T12g,"Keraton sulfate synthesis"
S6T13g,"Keraton sulfate synthesis"
S6T14g,"Keraton sulfate synthesis"
S6T15g,"Keraton sulfate synthesis"
S6T16g,"Keraton sulfate synthesis"
S6T17g,"Keraton sulfate synthesis"
S6T18g,"Keraton sulfate synthesis"
S6T4g,"Keraton sulfate synthesis"
S6T5g,"Keraton sulfate synthesis"
S6T6g,"Keraton sulfate synthesis"
S6T7g,"Keraton sulfate synthesis"
S6T8g,"Keraton sulfate synthesis"
S6T9g,"Keraton sulfate synthesis"
S6TASE24ly,"Keraton sulfate degradation"
S6TASE25ly,"Keraton sulfate degradation"
S6TASE26ly,"Keraton sulfate degradation"
SADT,"Nucleotide salvage pathway"
SERGLYGLUr,"Peptide metabolism"
SERGLYGLUt,"Transport, Extracellular"
SIAASE4ly,"Keraton sulfate degradation"
SK_Asn_X_Ser/Thr[r],"Sink"
SO4HCOtex,"Transport, Extracellular"
SO4tl,"Transport, Lysosomal"
Ser/Thrtg,"Transport, Golgi Apparatus"
TAURCHAe,"Transport, Extracellular"
TECR201,"Fatty acid elongation"
TECR221,"Fatty acid elongation"
TECR224,"Fatty acid elongation"
TECR241,"Fatty acid elongation"
TECR244,"Fatty acid elongation"
TETTET6COAtx,"Transport, Peroxisomal"
THRCYSNaEx,"Transport, Extracellular"
THYRIDHD,"Phenylalanine metabolism"
TRPHYDRO2,"Tryptophan metabolism"
TTCTECOAtr,"Transport, Endoplasmic reticular"
TYR3MO2,"Tyrosine metabolism"
UAGDP,"Aminosugar metabolism"
UDPACGALtl,"Transport, Lysosomal"
UDPDOLPT,"N-glycan synthesis"
UDPGALtg,"Transport, Golgi Apparatus"
UDPGNP,"Pentose and glucuronate interconversions"
UDPtl,"Transport, Lysosomal"
UGALNACtg,"Transport, Golgi Apparatus"
UGLCNACtg,"Transport, Golgi Apparatus"
UROLACer,"Vitamin C metabolism"
XYLTD_Dr,"Pentose and glucuronate interconversions"
XYLUR,"Pentose and glucuronate interconversions"
XYLURx,"Pentose and glucuronate interconversions"
