Reaction,Subsystem
C160CRNt,"Transport, Mitochondrial"
CDPDAGtm,"Transport, Mitochondrial"
CDSm,"Glycerophospholipid metabolism"
CHLtm,"Transport, Mitochondrial"
CHOLD2m,"Glycine, serine and threonine metabolism"
CHOLPtr,"Transport, Extracellular"
CITMCOAHm,"Pyruvate metabolism"
CITMCOALm,"Pyruvate metabolism"
CITRtm,"Transport, Mitochondrial"
CO2tn,"Transport, Nuclear"
COAtm,"Transport, Mitochondrial"
CTPtm,"Transport, Mitochondrial"
CYOOm2,"Oxidative phosphorylation"
CYOR_u10m,"Oxidative phosphorylation"
CYSt4,"Transport, Extracellular"
D3AIBTm,"Nucleotide salvage pathway"
DAGKm_hs,"Glycerophospholipid metabolism"
DAG_Hstem,"Transport, Endoplasmic reticular"
DAGt,"Transport, Extracellular"
DHEASt,"Transport, Extracellular"
DHEASt5e,"Transport, Extracellular"
DHPM2,"Nucleotide salvage pathway"
DHPRy,"Tetrahydrobiopetrin metabolism"
DHRT_ibcoa,"Valine, leucine and isoleucine metabolism"
DMGDHm,"Glycine, serine and threonine metabolism"
DMGtm,"Transport, Mitochondrial"
DM_ibgly[n],"Exchange/Demand"
DNPH4,"Nucleotide salvage pathway"
DPGM,"Glycolysis/Gluconeogenesis"
DRPA,"Pentose phosphate pathway"
DURAD2xm,"Nucleotide salvage pathway"
DUTCP,"Nucleotide salvage pathway"
ECOAH1m,"Tryptophan metabolism"
ENO,"Glycolysis/Gluconeogenesis"
ESTRADIOLtr,"Transport, Endoplasmic reticular"
ESTRONEtr,"Transport, Endoplasmic reticular"
EX_2mcit(e),"Exchange/Demand"
EX_3ohglutac(e),"Exchange/Demand"
EX_bildglcur(e),"Exchange/Demand"
EX_bilglcur(e),"Exchange/Demand"
EX_cys_L(e),"Exchange/Demand"
EX_for(e),"Exchange/Demand"
EX_gly(e),"Exchange/Demand"
EX_glyhisasn(e),"Exchange/Demand"
EX_h2o2(e),"Exchange/Demand"
EX_kynate(e),"Exchange/Demand"
EX_lac_L(e),"Exchange/Demand"
EX_mal_L(e),"Exchange/Demand"
EX_meoh(e),"Exchange/Demand"
EX_ncam(e),"Exchange/Demand"
EX_ser_L(e),"Exchange/Demand"
EX_tyr_L(e),"Exchange/Demand"
FACOAL100im,"Fatty acid activation"
FALDtm,"Transport, Mitochondrial"
FALDtn,"Transport, Nuclear"
FALDtx,"Transport, Mitochondrial"
FCYTOB5OXRr,"Unassigned"
FORBHBte,"Transport, Extracellular"
FORPPAte,"Transport, Extracellular"
GAPD,"Glycolysis/Gluconeogenesis"
GLCOASYNT,"Lysine metabolism"
GLUDxm,"Glutamate metabolism"
GLUt6,"Transport, Extracellular"
GLYACT3,"Glycine, serine and threonine metabolism"
GLYBtm,"Transport, Mitochondrial"
GLYHISASNr,"Peptide metabolism"
GLYHISASNt,"Transport, Extracellular"
H3K4DMET_1,"Histone modifications"
H3K4MET_1,"Histone modifications"
HACD1m,"Tryptophan metabolism"
HCO3_CLt,"Transport, Extracellular"
HEX11,"Glycolysis/Gluconeogenesis"
HEX12,"Glycolysis/Gluconeogenesis"
HISCITRtm,"Transport, Mitochondrial"
HMGCOASim,"Cholesterol metabolism"
HMGCOAtm,"Transport, Mitochondrial"
HMGCOAtx,"Transport, Peroxisomal"
HPROym,"Arginine and proline metabolism"
HSD17B1,"Steroid metabolism"
HSD17B8r,"Steroid metabolism"
ICDHyrm,"Citric acid cycle"
ICITACONtm,"Transport, Mitochondrial"
ILEt4,"Transport, Extracellular"
ITCOAL1m,"Unassigned"
KYNAKGAT,"Tryptophan metabolism"
KYNATESYN,"Tryptophan metabolism"
KYNATEtr,"Transport, Extracellular"
LACRETNte,"Transport, Extracellular"
LEUKTRC4t,"Transport, Extracellular"
LEUKTRC4t5e,"Transport, Extracellular"
LYStm,"Transport, Mitochondrial"
MALACONtm,"Transport, Mitochondrial"
MAL_Lte,"Transport, Extracellular"
MCITS,"Propanoate metabolism"
MEOHt2,"Transport, Extracellular"
MMMm,"Valine, leucine and isoleucine metabolism"
MMTSADm,"Valine, leucine and isoleucine metabolism"
MOD_2mhop,"Valine, leucine and isoleucine metabolism"
NCAMDe,"Transport, Extracellular"
NDP7er,"Nucleotide salvage pathway"
NDPK9,"Nucleotide interconversions"
NKCC2t,"Transport, Extracellular"
NKCCt,"Transport, Extracellular"
NMNDA,"NAD metabolism"
NTD2,"Nucleotide salvage pathway"
NTD9,"Nucleotide salvage pathway"
O2tn,"Transport, Nuclear"
ORNHISt2m,"Transport, Mitochondrial"
ORNHIStm,"Transport, Mitochondrial"
OXALSUCCCLm,"Citric acid cycle"
OXOADLR,"Lysine metabolism"
PCHOLHSTDe,"Transport, Extracellular"
PGM,"Glycolysis/Gluconeogenesis"
PIGTHRDLtm,"Transport, Mitochondrial"
PIt2m_2,"Transport, Mitochondrial"
PNP,"NAD metabolism"
PPA,"Oxidative phosphorylation"
PPM2,"Pentose phosphate pathway"
PRDX,"Unassigned"
PROGLUtm,"Transport, Mitochondrial"
PROSTGH2t,"Transport, Extracellular"
PROSTGH2t5e,"Transport, Extracellular"
PROSTGI2t,"Transport, Extracellular"
PROSTI2t5e,"Transport, Extracellular"
PUNP3,"Nucleotide salvage pathway"
PYRACte,"Transport, Extracellular"
PYRRETNte,"Transport, Extracellular"
RDH2,"Vitamin A metabolism"
RNAdeg,"Biomass"
RNMK,"NAD metabolism"
RPE,"Pentose phosphate pathway"
RTOT5,"R group synthesis"
SARCOXp,"Glycine, serine and threonine metabolism"
SARCStm,"Transport, Mitochondrial"
SARCStp,"Transport, Peroxisomal"
SERALANaEx,"Transport, Extracellular"
SMPDEe,"Sphingolipid metabolism"
SMS21e,"Sphingolipid metabolism"
SO3AKGtm,"Transport, Mitochondrial"
SO3MALtm,"Transport, Mitochondrial"
SSALym,"Glutamate metabolism"
SUCCACONtm,"Transport, Mitochondrial"
SUCCICITtm,"Transport, Mitochondrial"
TALA,"Pentose phosphate pathway"
TD2GLTRCOAm,"Lysine metabolism"
THRALANaEx,"Transport, Extracellular"
THYMtm,"Transport, Mitochondrial"
TKT1,"Pentose phosphate pathway"
TKT2,"Pentose phosphate pathway"
TTDCPT1,"Carnitine metabolism"
TTDCPT2,"Carnitine metabolism"
TTDCRNt,"Transport, Mitochondrial"
TYRDOPO,"Tyrosine metabolism"
TYRt4,"Transport, Extracellular"
UDPGLCAter,"Transport, Endoplasmic reticular"
UGT1A10r,"Steroid metabolism"
UGT1A2r,"Steroid metabolism"
UMPtr,"Transport, Endoplasmic reticular"
VALTAm,"Valine, leucine and isoleucine metabolism"
VALt4,"Transport, Extracellular"
VALt5m,"Transport, Mitochondrial"
ZN2te,"Transport, Extracellular"
ZNte,"Transport, Extracellular"
