Reaction,Subsystem
ALR2,"Pyruvate metabolism"
ALR3,"Pyruvate metabolism"
AM6SAD,"Tryptophan metabolism"
AMCOXO,"Tryptophan metabolism"
APAT2rm,"B-alanine metabolism"
ARCOAATp,"Carnitine metabolism"
ARCOAATr,"Carnitine metabolism"
ARGN,"Urea cycle"
ARTFR12,"R group synthesis"
ARTFR32,"R group synthesis"
ARTFR33,"R group synthesis"
ARTFR41,"R group synthesis"
ARTFR42,"R group synthesis"
ARTFR43,"R group synthesis"
ARTFR45,"R group synthesis"
ASNN,"Alanine and aspartate metabolism"
ASNt4,"Transport, Extracellular"
ASP1DC,"B-alanine metabolism"
ASPDH,"Alanine and aspartate metabolism"
ASPDTDe,"Transport, Extracellular"
ASPDt6,"Transport, Extracellular"
ASPPROASCT1,"Transport, Extracellular"
ASPTA,"Alanine and aspartate metabolism"
ASPt6,"Transport, Extracellular"
ATPtn,"Transport, Nuclear"
BALAtmr,"Transport, Mitochondrial"
BDMT,"N-glycan synthesis"
BHBACACte,"Transport, Extracellular"
BHBRETNte,"Transport, Extracellular"
BILDGLCURt5e,"Transport, Extracellular"
BILGLCURt5e,"Transport, Extracellular"
BILIRED2,"Heme synthesis"
BILIRUBt2,"Transport, Extracellular"
BILIRUBte,"Transport, Extracellular"
BPNT,"Nucleotide salvage pathway"
C161CPT1,"Carnitine metabolism"
C30CPT1,"Carnitine metabolism"
C4STMO2Pr,"Cholesterol metabolism"
C4STMO2r,"Cholesterol metabolism"
CACT4r,"Transport, Endoplasmic reticular"
CACT7p,"Transport, Mitochondrial"
CACT7r,"Transport, Peroxisomal"
CAT,"ROS detoxification"
CATp,"ROS detoxification"
CBPSam,"Glutamate metabolism"
CDS,"Glycerophospholipid metabolism"
CITRORNtm,"Transport, Mitochondrial"
CITRte,"Transport, Extracellular"
CMPACNAtg,"Transport, Golgi Apparatus"
CMPSAS,"Aminosugar metabolism"
COAtp,"Transport, Peroxisomal"
COAtr,"Transport, Endoplasmic reticular"
CORE3GTg,"O-glycan synthesis"
CORE4GTg,"O-glycan synthesis"
COt,"Transport, Extracellular"
CPPPGO,"Heme synthesis"
CREATt,"Transport, Extracellular"
CRNCARtp,"Transport, Peroxisomal"
CRNtim,"Transport, Mitochondrial"
CSNAT2m,"Carnitine metabolism"
CSNATp,"Carnitine metabolism"
CSNATr,"Carnitine metabolism"
CYSAMO,"CoA metabolism"
CYSBS,"Methionine and cysteine metabolism"
CYSDDS,"Methionine and cysteine metabolism"
CYSGLTH,"Methionine and cysteine metabolism"
CYSRED,"Methionine and cysteine metabolism"
CYSTGL,"Methionine and cysteine metabolism"
CYSTS,"Methionine and cysteine metabolism"
CYTDt,"Transport, Extracellular"
CYTDt4,"Transport, Extracellular"
DAD2te,"Transport, Extracellular"
DADNt4,"Transport, Extracellular"
DALAOXx,"Miscellaneous"
DALAt2r,"Transport, Extracellular"
DALAxt,"Transport, Peroxisomal"
DASCBR,"Vitamin C metabolism"
DCYTt,"Transport, Extracellular"
DCYTte,"Transport, Extracellular"
DESAT16_1,"Fatty acid desaturation"
DESAT18_1,"Fatty acid desaturation"
DGCHOLt2e,"Transport, Extracellular"
DGCHOLte,"Transport, Extracellular"
DGSNt,"Transport, Extracellular"
DGSNte,"Transport, Extracellular"
DGULND,"Pentose and glucuronate interconversions"
DHCHOLOR,"Bile acid synthesis"
DHCR241r,"Cholesterol metabolism"
DHCR242r,"Cholesterol metabolism"
DHPM1,"Nucleotide salvage pathway"
DHPR,"Tetrahydrobiopetrin metabolism"
DHRT_2mbcoa,"Valine, leucine and isoleucine metabolism"
DHRT_ivcoa,"Valine, leucine and isoleucine metabolism"
DLD,"Glycine, serine and threonine metabolism"
DM_2mbgly[c],"Exchange/Demand"
DM_5hoxnfkyn[c],"Exchange/Demand"
DM_ivgly[n],"Exchange/Demand"
DOLASNTer,"N-glycan synthesis"
DOLDPPer,"N-glycan synthesis"
DOLGLCP_ter,"Transport, Endoplasmic reticular"
DOLMANP_ter,"Transport, Endoplasmic reticular"
DOLPGT1er,"N-glycan synthesis"
DOLPGT2er,"N-glycan synthesis"
DOLPGT3er,"N-glycan synthesis"
DOLPMT,"N-glycan synthesis"
DOLPMT1er,"N-glycan synthesis"
DOLPMT2_er,"N-glycan synthesis"
DOLPMT3er,"N-glycan synthesis"
DOLPMT4_er,"N-glycan synthesis"
DOLP_ter,"Transport, Endoplasmic reticular"
DOPABMO,"Tyrosine metabolism"
DURAD,"Nucleotide salvage pathway"
DURIPP,"Nucleotide salvage pathway"
DURIt,"Transport, Extracellular"
DURIt3e,"Transport, Extracellular"
DUTPDP,"Nucleotide salvage pathway"
D_LACt2,"Transport, Extracellular"
EBP2r,"Cholesterol metabolism"
ESTRONESt2,"Transport, Extracellular"
ESTRONESt5e,"Transport, Extracellular"
ETHPL,"Glycerophospholipid metabolism"
EX_2m3hvac(e),"Exchange/Demand"
EX_335trithyr(e),"Exchange/Demand"
EX_34dhoxpeg(e),"Exchange/Demand"
EX_4abut(e),"Exchange/Demand"
EX_Lhcystin(e),"Exchange/Demand"
EX_ac(e),"Exchange/Demand"
EX_adpoh(e),"Exchange/Demand"
EX_akg(e),"Exchange/Demand"
EX_asp_L(e),"Exchange/Demand"
EX_cit(e),"Exchange/Demand"
EX_citr_L(e),"Exchange/Demand"
EX_co(e),"Exchange/Demand"
EX_co2(e),"Exchange/Demand"
EX_glu_L(e),"Exchange/Demand"
EX_gluglu(e),"Exchange/Demand"
EX_glumet(e),"Exchange/Demand"
EX_glyc(e),"Exchange/Demand"
EX_hisglu(e),"Exchange/Demand"
EX_i(e),"Exchange/Demand"
EX_isomal(e),"Exchange/Demand"
EX_ksi(e),"Exchange/Demand"
EX_o2s(e),"Exchange/Demand"
EX_oxa(e),"Exchange/Demand"
EX_ppiogly(e),"Exchange/Demand"
EX_pyr(e),"Exchange/Demand"
EX_serglyglu(e),"Exchange/Demand"
EX_so4(e),"Exchange/Demand"
EX_succ(e),"Exchange/Demand"
EX_taur(e),"Exchange/Demand"
EX_thyox_L(e),"Exchange/Demand"
EX_urea(e),"Exchange/Demand"
F6T2g,"N-glycan synthesis"
FADFADH2tm,"Transport, Mitochondrial"
FAE180,"Fatty acid elongation"
FAE181,"Fatty acid elongation"
FAE200,"Fatty acid elongation"
FAE201,"Fatty acid elongation"
FAE220,"Fatty acid elongation"
FAE221,"Fatty acid elongation"
FAE224,"Fatty acid elongation"
FAE240,"Fatty acid elongation"
FAE241,"Fatty acid elongation"
FAE244,"Fatty acid elongation"
FAE260,"Fatty acid elongation"
FATP1t,"Transport, Extracellular"
FATP9t,"Transport, Extracellular"
FBA,"Glycolysis/Gluconeogenesis"
FBA2,"Fructose and mannose metabolism"
FBA3,"Unassigned"
FBA4,"Glyoxylate and dicarboxylate metabolism"
FCLTm,"Heme synthesis"
FCYTOB5OXRyr,"Unassigned"
FDH,"Fatty acid oxidation"
FE2tm,"Transport, Mitochondrial"
FKYNH,"Tryptophan metabolism"
FTCD,"Folate metabolism"
FUMAC,"Tyrosine metabolism"
G12MT1,"N-glycan synthesis"
G12MT2,"N-glycan synthesis"
G13MT,"N-glycan synthesis"
G14T10g,"Keraton sulfate synthesis"
G14T11g,"Keraton sulfate synthesis"
G14T12g,"Keraton sulfate synthesis"
G14T13g,"Keraton sulfate synthesis"
G14T14g,"Keraton sulfate synthesis"
G14T15g,"Keraton sulfate synthesis"
G14T16g,"Keraton sulfate synthesis"
G14T17g,"Keraton sulfate synthesis"
G14T18g,"Keraton sulfate synthesis"
G14T19g,"Keraton sulfate synthesis"
G14T20g,"Keraton sulfate synthesis"
G14T21g,"Keraton sulfate synthesis"
G14T6g,"Keraton sulfate synthesis"
G14T7g,"Keraton sulfate synthesis"
G14T8g,"Keraton sulfate synthesis"
G14T9g,"Keraton sulfate synthesis"
G14Tg,"N-glycan synthesis"
G16MT,"N-glycan synthesis"
G5SADr,"Arginine and proline metabolism"
GALASE17ly,"Keraton sulfate degradation"
GALASE18ly,"Keraton sulfate degradation"
GALASE19ly,"Keraton sulfate degradation"
GALASE20ly,"Keraton sulfate degradation"
GALK,"Galactose metabolism"
GALM2,"Galactose metabolism"
GALNTg,"O-glycan synthesis"
GALU,"Galactose metabolism"
GALt4,"Transport, Extracellular"
GALtly,"Transport, Lysosomal"
GCALDD,"Glyoxylate and dicarboxylate metabolism"
GCALDDm,"Glyoxylate and dicarboxylate metabolism"
GCHOLAt,"Transport, Extracellular"
GCHOLAt2,"Transport, Extracellular"
GCHOLAt2e,"Transport, Extracellular"
GDPFUCtg,"Transport, Golgi Apparatus"
GDPtg,"Transport, Golgi Apparatus"
GF6PTA,"Aminosugar metabolism"
GFUCS,"Aminosugar metabolism"
GLACter,"Transport, Endoplasmic reticular"
GLCNACPT,"N-glycan synthesis"
GLCNACT,"N-glycan synthesis"
GLCURter,"Transport, Endoplasmic reticular"
GLCURtly,"Transport, Lysosomal"
GLCter,"Transport, Endoplasmic reticular"
GLNLASEer,"Vitamin C metabolism"
GLNt4,"Transport, Extracellular"
GLNtm,"Transport, Mitochondrial"
GLRASE,"Vitamin C metabolism"
GLU5SAtmc,"Transport, Mitochondrial"
GLUGLUr,"Peptide metabolism"
GLUGLUt,"Transport, Extracellular"
GLUMETr,"Peptide metabolism"
GLUMETt,"Transport, Extracellular"
GLUNm,"Glutamate metabolism"
GLUt2m,"Transport, Mitochondrial"
GLXO2p,"Glyoxylate and dicarboxylate metabolism"
GLXtm,"Transport, Mitochondrial"
GLXtp,"Transport, Peroxisomal"
GLYACT1,"Glycine, serine and threonine metabolism"
GLYACT2,"Glycine, serine and threonine metabolism"
GLYALDORy,"Glycerophospholipid metabolism"
GLYC3Ptm,"Transport, Mitochondrial"
GLYC3Ptmc,"Transport, Mitochondrial"
GLYCLTtm,"Transport, Mitochondrial"
GLYCLTtp,"Transport, Peroxisomal"
GLYCTO1p,"Glyoxylate and dicarboxylate metabolism"
GLYCt,"Transport, Extracellular"
GLYCtm,"Transport, Mitochondrial"
GLYOp,"Glycine, serine and threonine metabolism"
GLYt4,"Transport, Extracellular"
GLYtm,"Transport, Mitochondrial"
GLYtp,"Transport, Peroxisomal"
GMAND,"Aminosugar metabolism"
GMPtg,"Transport, Golgi Apparatus"
GPAMm_hs,"Glycerophospholipid metabolism"
GSADHm,"Urea cycle"
GTPGDPtm,"Transport, Mitochondrial"
GULLACter,"Transport, Endoplasmic reticular"
GULN3D,"Pentose and glucuronate interconversions"
GULNDer,"Pentose and glucuronate interconversions"
GULNter,"Transport, Endoplasmic reticular"
GluForTx,"Histidine metabolism"
H2O2tp,"Transport, Peroxisomal"
H2Otg,"Transport, Golgi Apparatus"
H2Otly,"Transport, Lysosomal"
H2Otp,"Transport, Peroxisomal"
HACD180,"Fatty acid elongation"
HACD181,"Fatty acid elongation"
HACD200,"Fatty acid elongation"
HACD201,"Fatty acid elongation"
HACD220,"Fatty acid elongation"
HACD221,"Fatty acid elongation"
HACD224,"Fatty acid elongation"
HACD240,"Fatty acid elongation"
HACD241,"Fatty acid elongation"
HACD244,"Fatty acid elongation"
HACD260,"Fatty acid elongation"
HAS1,"Hyaluronan metabolism"
HAS2,"Hyaluronan metabolism"
HAtly,"Transport, Lysosomal"
HCO3Ee,"Urea cycle"
HCO3Em,"Urea cycle"
HEX1,"Glycolysis/Gluconeogenesis"
HEX16,"Fructose and mannose metabolism"
HEX7,"Fructose and mannose metabolism"
HEXCCOAtr,"Transport, Endoplasmic reticular"
HGNTOR,"Tyrosine metabolism"
HISD,"Histidine metabolism"
HISGLUr,"Peptide metabolism"
HISGLUt,"Transport, Extracellular"
HISt4,"Transport, Extracellular"
HKYNH,"Tryptophan metabolism"
HMBS,"Heme synthesis"
HOXG,"Heme synthesis"
HPYRDC,"Glyoxylate and dicarboxylate metabolism"
HPYRDCm,"Glyoxylate and dicarboxylate metabolism"
HPYRtp,"Transport, Peroxisomal"
HSD180,"Fatty acid elongation"
HSD181,"Fatty acid elongation"
HSD200,"Fatty acid elongation"
HSD201,"Fatty acid elongation"
HSD220,"Fatty acid elongation"
HSD221,"Fatty acid elongation"
HSD224,"Fatty acid elongation"
HSD240,"Fatty acid elongation"
HSD241,"Fatty acid elongation"
HSD244,"Fatty acid elongation"
HSD260,"Fatty acid elongation"
HTDH,"CoA metabolism"
HYAL,"Hyaluronan metabolism"
Htg,"Transport, Golgi Apparatus"
Htx,"Transport, Peroxisomal"
IDHPOXOX2b,"Tyrosine metabolism"
IDHPOXOX3,"Tyrosine metabolism"
IDHPOXOXb,"Tyrosine metabolism"
ILETAm,"Valine, leucine and isoleucine metabolism"
ILEt5m,"Transport, Mitochondrial"
IMAGH,"Unassigned"
IZPN,"Histidine metabolism"
It,"Transport, Extracellular"
KCCt,"Transport, Extracellular"
KHK,"Fructose and mannose metabolism"
KHK2,"Glyoxylate and dicarboxylate metabolism"
KSII_CORE4t,"Transport, Extracellular"
KSII_CORE4tly,"Transport, Lysosomal"
KSIt,"Transport, Extracellular"
KYN3OX,"Tryptophan metabolism"
LALDD,"Pyruvate metabolism"
LCADi_D,"Pyruvate metabolism"
LDH_D,"Pyruvate metabolism"
LEUKTRD4t,"Transport, Extracellular"
LEUKTRE4t,"Transport, Extracellular"
LEUTAm,"Valine, leucine and isoleucine metabolism"
LEUt5m,"Transport, Mitochondrial"
LHCYSTIN,"Methionine and cysteine metabolism"
LHCYSTINt,"Transport, Extracellular"
LKTD4PEP,"Eicosanoid metabolism"
LSTO2r,"Cholesterol metabolism"
LTD4DP,"Eicosanoid metabolism"
L_LACtcm,"Transport, Mitochondrial"
L_LACtm,"Transport, Mitochondrial"
M1316M2g,"N-glycan synthesis"
M13N2Tg,"N-glycan synthesis"
M16NT1g,"N-glycan synthesis"
M4MPDOL_ter,"N-glycan synthesis"
M8MASNterg,"N-glycan synthesis"
MACACIr,"Tyrosine metabolism"
MAN1PT2,"Fructose and mannose metabolism"
MAN6PI,"Fructose and mannose metabolism"
MANtg,"Transport, Golgi Apparatus"
METAT,"Methionine and cysteine metabolism"
METt4,"Transport, Extracellular"
MG1er,"N-glycan synthesis"
MG2er,"N-glycan synthesis"
MG3er,"N-glycan synthesis"
MI1PP,"Inositol phosphate metabolism"
MM5ag,"N-glycan synthesis"
MM6bg,"N-glycan synthesis"
MM7Cbg,"N-glycan synthesis"
MM8Cg,"N-glycan synthesis"
MMSAD3m,"Propanoate metabolism"
MOD_3mhop,"Valine, leucine and isoleucine metabolism"
MTHFD2,"Folate metabolism"
NACHEX24ly,"Keraton sulfate degradation"
NACHEX25ly,"Keraton sulfate degradation"
NACHEX26ly,"Keraton sulfate degradation"
NADHtru,"Transport, Endoplasmic reticular"
NADPHtru,"Transport, Endoplasmic reticular"
NADPtru,"Transport, Endoplasmic reticular"
NADtru,"Transport, Endoplasmic reticular"
NAGA2ly,"Keraton sulfate degradation"
NAGLCAly,"Keraton sulfate degradation"
NCKt,"Transport, Extracellular"
NDP7g,"Nucleotide salvage pathway"
NH4tm,"Transport, Mitochondrial"
NH4tp,"Transport, Peroxisomal"
NMNS,"NAD metabolism"
NRPPHRtu,"Transport, Extracellular"
NRVNCCOAtr,"Transport, Endoplasmic reticular"
NTD1,"Nucleotide salvage pathway"
O2St,"Transport, Extracellular"
O2tp,"Transport, Peroxisomal"
OAADC,"Unassigned"
OBDHc,"Glycine, serine and threonine metabolism"
OCBTm,"Urea cycle"
OCDE9ECOAtr,"Transport, Endoplasmic reticular"
OCOAT1m,"Valine, leucine and isoleucine metabolism"
OCTD11ECOAtr,"Transport, Endoplasmic reticular"
ORNt4m,"Transport, Mitochondrial"
OROTGLUt,"Transport, Extracellular"
OXAtp,"Transport, Peroxisomal"
P5CDm,"Glutamate metabolism"
P5CR,"Arginine and proline metabolism"
PAN4PP,"CoA metabolism"
PAPStg,"Transport, Golgi Apparatus"
PAPtg,"Transport, Golgi Apparatus"
PCLAD,"Tryptophan metabolism"
PCRNtm,"Transport, Mitochondrial"
PEPCK,"Glycolysis/Gluconeogenesis"
PE_HStm,"Transport, Mitochondrial"
PFK,"Glycolysis/Gluconeogenesis"
PFK_3,"Unassigned"
PGK,"Glycolysis/Gluconeogenesis"
PGMT,"Glycolysis/Gluconeogenesis"
PHEMEtm,"Transport, Mitochondrial"
PHETHPTOX,"Tetrahydrobiopetrin metabolism"
PHETHPTOX2,"Phenylalanine metabolism"
PIATPLtm,"Transport, Mitochondrial"
PIMALtm,"Transport, Mitochondrial"
PIPLC,"Inositol phosphate metabolism"
PIt2e,"Transport, Extracellular"
PItg,"Transport, Golgi Apparatus"
PLMCOAPTr,"Carnitine metabolism"
PMANM,"Fructose and mannose metabolism"
PNTEH,"CoA metabolism"
PNTK,"CoA metabolism"
PPABHBte,"Transport, Extracellular"
PPABUTte,"Transport, Extracellular"
PPALACte,"Transport, Extracellular"
PPARETNte,"Transport, Extracellular"
PPAer,"Unassigned"
PPBNGS,"Heme synthesis"
PPCDC,"CoA metabolism"
PPCOACRNtm,"Transport, Mitochondrial"
PPDOy,"Pyruvate metabolism"
PPIOGLYc,"Glycine, serine and threonine metabolism"
PPIOGLYte,"Transport, Extracellular"
PPIOGLYtm,"Transport, Mitochondrial"
PPM,"Pentose phosphate pathway"
PPNCL2,"CoA metabolism"
PPPG9tm,"Transport, Mitochondrial"
PPPGOm,"Heme synthesis"
PRISTANALtx,"Transport, Peroxisomal"
PRISTtx,"Transport, Peroxisomal"
PRO1x,"Arginine and proline metabolism"
PRO1xm,"Arginine and proline metabolism"
PROD2,"Arginine and proline metabolism"
PROD2m,"Arginine and proline metabolism"
PROtm,"Transport, Mitochondrial"
PUNP1,"Nucleotide salvage pathway"
PYNP2r,"Nucleotide salvage pathway"
PYRAKGte,"Transport, Extracellular"
PYRLACte,"Transport, Extracellular"
PYRt2p,"Transport, Peroxisomal"
PYRtm,"Transport, Mitochondrial"
RDH1,"Vitamin A metabolism"
RND214,"Transport, Extracellular"
RTOT3,"R group synthesis"
RTOT4,"R group synthesis"
RTOTALCRNCPT1,"Carnitine metabolism"
RTOTALCRNCPT2,"Carnitine metabolism"
RTOTALCRNt,"Transport, Mitochondrial"
S23T3g,"Keraton sulfate synthesis"
S23T4g,"Keraton sulfate synthesis"
S6T10g,"Keraton sulfate synthesis"
S6T11g,"Keraton sulfate synthesis"
S6T12g,"Keraton sulfate synthesis"
S6T13g,"Keraton sulfate synthesis"
S6T14g,"Keraton sulfate synthesis"
S6T15g,"Keraton sulfate synthesis"
S6T16g,"Keraton sulfate synthesis"
S6T17g,"Keraton sulfate synthesis"
S6T18g,"Keraton sulfate synthesis"
S6T4g,"Keraton sulfate synthesis"
S6T5g,"Keraton sulfate synthesis"
S6T6g,"Keraton sulfate synthesis"
S6T7g,"Keraton sulfate synthesis"
S6T8g,"Keraton sulfate synthesis"
S6T9g,"Keraton sulfate synthesis"
S6TASE24ly,"Keraton sulfate degradation"
S6TASE25ly,"Keraton sulfate degradation"
S6TASE26ly,"Keraton sulfate degradation"
SADT,"Nucleotide salvage pathway"
SAML,"Methionine and cysteine metabolism"
SBTD_D2,"Fructose and mannose metabolism"
SBTR,"Fructose and mannose metabolism"
SERGLYGLUr,"Peptide metabolism"
SERGLYGLUt,"Transport, Extracellular"
SERTm,"Transport, Mitochondrial"
SERt4,"Transport, Extracellular"
SERtp,"Transport, Peroxisomal"
SIAASE4ly,"Keraton sulfate degradation"
SK_Asn_X_Ser/Thr[r],"Sink"
SO4HCOtex,"Transport, Extracellular"
SO4OXAtex2,"Transport, Extracellular"
SO4t4_3,"Transport, Extracellular"
SO4tl,"Transport, Lysosomal"
SPAm,"Glycine, serine and threonine metabolism"
SPTx,"Glycine, serine and threonine metabolism"
SUCOAS1m,"Citric acid cycle"
Ser/Thrtg,"Transport, Golgi Apparatus"
TAURCHAe,"Transport, Extracellular"
TCHOLAt,"Transport, Extracellular"
TCHOLAt2,"Transport, Extracellular"
TCHOLAte,"Transport, Extracellular"
TECR180,"Fatty acid elongation"
TECR181,"Fatty acid elongation"
TECR200,"Fatty acid elongation"
TECR201,"Fatty acid elongation"
TECR220,"Fatty acid elongation"
TECR221,"Fatty acid elongation"
TECR224,"Fatty acid elongation"
TECR240,"Fatty acid elongation"
TECR241,"Fatty acid elongation"
TECR244,"Fatty acid elongation"
TECR260,"Fatty acid elongation"
TETTET6COAtx,"Transport, Peroxisomal"
THBPT4ACAMDASE,"Tetrahydrobiopetrin metabolism"
THMDt4,"Transport, Extracellular"
THRA,"Glycine, serine and threonine metabolism"
THRCYSNaEx,"Transport, Extracellular"
THRD_L,"Glycine, serine and threonine metabolism"
THRt4,"Transport, Extracellular"
THYMDt1,"Transport, Extracellular"
THYPX,"Tyrosine metabolism"
THYRDI,"Phenylalanine metabolism"
THYRDI2,"Phenylalanine metabolism"
THYRIDHD,"Phenylalanine metabolism"
TRDOXtm,"Transport, Mitochondrial"
TRDR,"Nucleotide salvage pathway"
TRDRDtm,"Transport, Mitochondrial"
TRDRm,"Nucleotide salvage pathway"
TRPHYDRO2,"Tryptophan metabolism"
TRPO2,"Tryptophan metabolism"
TTCTECOAtr,"Transport, Endoplasmic reticular"
TYR3MO2,"Tyrosine metabolism"
TYRTA,"Tyrosine metabolism"
UAGDP,"Aminosugar metabolism"
UDPACGALtl,"Transport, Lysosomal"
UDPDOLPT,"N-glycan synthesis"
UDPG4E,"Galactose metabolism"
UDPGALtg,"Transport, Golgi Apparatus"
UDPGD,"Starch and sucrose metabolism"
UDPGNP,"Pentose and glucuronate interconversions"
UDPtl,"Transport, Lysosomal"
UGALNACtg,"Transport, Golgi Apparatus"
UGLCNACtg,"Transport, Golgi Apparatus"
UGLT,"Galactose metabolism"
UMPK,"Nucleotide interconversions"
UMPK5,"Nucleotide interconversions"
UPP3S,"Heme synthesis"
UPPDC1,"Heme synthesis"
UPPN,"Nucleotide salvage pathway"
URATEt,"Transport, Extracellular"
URATEti,"Transport, Extracellular"
URCN,"Histidine metabolism"
UREAt,"Transport, Extracellular"
URIt,"Transport, Extracellular"
URIt4,"Transport, Extracellular"
UROLACer,"Vitamin C metabolism"
URPT,"Nucleotide salvage pathway"
XYLTD_Dr,"Pentose and glucuronate interconversions"
XYLUR,"Pentose and glucuronate interconversions"
XYLURx,"Pentose and glucuronate interconversions"
